2025-12-16 03:51:54.708 | INFO | Logger init app=DBServer
2025-12-16 03:51:54.747 | INFO | [System] DBServer process started
2025-12-16 03:51:54.765 | INFO | [DbConnection] Connected to MySQL: 100.77.71.68:3306
2025-12-16 03:51:54.765 | INFO | [DBManager] DB initialized successfully.
2025-12-16 03:51:54.765 | INFO | [DBServer] DB Initialized
2025-12-16 03:51:54.765 | INFO | [DBWorker] Started
2025-12-16 03:51:54.766 | INFO | [DBServer] Listening on port 3600
2025-12-16 03:51:54.766 | INFO | [DB] DBServer started. Listening on port 3600.
2025-12-16 03:51:54.766 | INFO | [DB] Press Ctrl+C to stop.
2025-12-16 03:58:16.346 | INFO | Logger init app=DBServer
2025-12-16 03:58:16.385 | INFO | [System] DBServer process started
2025-12-16 03:58:16.404 | INFO | [DbConnection] Connected to MySQL: 100.77.71.68:3306
2025-12-16 03:58:16.404 | INFO | [DBManager] DB initialized successfully.
2025-12-16 03:58:16.404 | INFO | [DBServer] DB Initialized
2025-12-16 03:58:16.405 | INFO | [DBWorker] Started
2025-12-16 03:58:16.405 | INFO | [DBServer] Listening on port 3600
2025-12-16 03:58:16.405 | INFO | [DB] DBServer started. Listening on port 3600.
2025-12-16 03:58:16.405 | INFO | [DB] Press Ctrl+C to stop.
2025-12-16 03:58:24.807 | INFO | [DBServer] MainServer connected
2025-12-16 03:58:24.807 | INFO | [DB] PING_REQ received seq=1
2025-12-16 03:58:24.807 | INFO | [DB] PING_ACK sent seq=1 tick=30188955
2025-12-16 03:58:36.035 | INFO | [DB] FindAccount loginId='test1' (len=5)
2025-12-16 03:58:36.035 | INFO | [DB][SQL] SELECT account_id, pw_hash, pw_salt, status FROM account WHERE login_id='test1' LIMIT 1;
2025-12-16 03:58:36.036 | INFO | [DB] DB_FIND_ACCOUNT_ACK sent seq=1 exists=1
2025-12-16 03:58:36.052 | INFO | [DB] UpdateLastLogin success. accountId=5
2025-12-16 03:58:41.503 | INFO | [DBServer] MainServer disconnected
2025-12-16 05:08:37.199 | INFO | Logger init app=DBServer
2025-12-16 05:08:37.239 | INFO | [System] DBServer process started
2025-12-16 05:08:37.257 | INFO | [DbConnection] Connected to MySQL: 100.77.71.68:3306
2025-12-16 05:08:37.257 | INFO | [DBManager] DB initialized successfully.
2025-12-16 05:08:37.257 | INFO | [DBServer] DB Initialized
2025-12-16 05:08:37.257 | INFO | [DBWorker] Started
2025-12-16 05:08:37.257 | INFO | [DBServer] Listening on port 3600
2025-12-16 05:08:37.257 | INFO | [DB] DBServer started. Listening on port 3600.
2025-12-16 05:08:37.257 | INFO | [DB] Press Ctrl+C to stop.
2025-12-16 05:09:15.661 | INFO | Logger init app=DBServer
2025-12-16 05:09:15.701 | INFO | [System] DBServer process started
2025-12-16 05:09:15.719 | INFO | [DbConnection] Connected to MySQL: 100.77.71.68:3306
2025-12-16 05:09:15.719 | INFO | [DBManager] DB initialized successfully.
2025-12-16 05:09:15.719 | INFO | [DBServer] DB Initialized
2025-12-16 05:09:15.719 | INFO | [DBWorker] Started
2025-12-16 05:09:15.720 | INFO | [DBServer] Listening on port 3600
2025-12-16 05:09:15.720 | INFO | [DB] DBServer started. Listening on port 3600.
2025-12-16 05:09:15.720 | INFO | [DB] Press Ctrl+C to stop.
2025-12-16 05:09:19.455 | INFO | [DBServer] MainServer connected
2025-12-16 05:09:19.455 | INFO | [DB] PING_REQ received seq=1
2025-12-16 05:09:19.455 | INFO | [DB] PING_ACK sent seq=1 tick=34443632
2025-12-16 05:09:54.963 | WARN | [DBAuth] Unknown auth pktId=3104
2025-12-16 05:20:57.741 | INFO | Logger init app=DBServer
2025-12-16 05:20:57.780 | INFO | [System] DBServer process started
2025-12-16 05:20:57.798 | INFO | [DbConnection] Connected to MySQL: 100.77.71.68:3306
2025-12-16 05:20:57.798 | INFO | [DBManager] DB initialized successfully.
2025-12-16 05:20:57.798 | INFO | [DBServer] DB Initialized
2025-12-16 05:20:57.798 | INFO | [DBWorker] Started
2025-12-16 05:20:57.799 | INFO | [DBServer] Listening on port 3600
2025-12-16 05:20:57.799 | INFO | [DB] DBServer started. Listening on port 3600.
2025-12-16 05:20:57.799 | INFO | [DB] Press Ctrl+C to stop.
2025-12-16 05:21:03.346 | INFO | [DBServer] MainServer connected
